,FA1,FA2
0,4102.173067271186,6321.744438452762
1,-7204.058438044904,-3355.9896502642414
2,2377.915727662876,-7969.376374054512
3,-7945.8975519493415,3859.405874646304
4,2403.1490989466483,-8023.242973829541
5,-4935.692420155169,2923.740825834883
6,5198.7122195551265,-2135.7974032570387
7,8385.323096208296,965.1102048233657
8,6567.818368342031,340.3369914457206
9,4057.456140602948,-8783.056080101325
10,6471.671129423975,-5986.152715086443
11,-1677.3713150718288,7343.0248742150025
12,-4391.259331674134,1777.6561534880411
13,-2604.540344200599,4483.795478037388
14,4868.039407731234,-5951.662139422491
15,5192.201956525756,6409.949069795703
16,3584.974904544842,-5458.579519062763
17,3281.1774683377103,-7441.2606552057505
18,4421.693004991783,-8454.918451017988
19,1749.5379295504529,1935.0533402929973
20,7270.424392358856,241.70308545203804
21,-1394.1446366135717,4737.586537844139
22,2425.9102173812753,3578.312052378679
23,-1900.0132787560406,4144.656034182781
24,-6909.0857875633055,-4630.635879928465
25,-8536.06681841555,6716.463498034396
26,7403.698198211271,-3827.1333337650585
27,-1221.6751467351626,4652.601200616038
28,-1683.1011907996647,7108.812531625921
29,3929.9726645807345,-4663.659755799855
30,3769.145245994099,-5334.423594321022
31,4192.7748375003175,-3210.2987081367155
32,7367.672407213959,-1188.9502927941573
33,5144.158045144106,-2544.50783962186
34,-2843.891891602956,4230.093764495471
35,2340.6781574847328,-10513.530570629697
36,2471.0234387457403,-8233.70283533675
37,6522.441651087721,212.57855928365686
38,-8267.489130577753,3965.7728646349437
39,7217.938582921251,-1323.9113328641308
40,5122.493772705656,-6603.969828103249
41,-5982.468921349293,-2313.4451115276784
42,3931.840933635659,13068.97330120858
43,27.21674388094795,5219.188071403854
44,1698.385903073496,-8088.929683570531
45,-6844.78494864944,-4840.77887443966
46,5425.559875403151,-2184.2640203527453
47,5457.251015065065,-3744.592037412393
48,-2009.547879391986,5388.14326653569
49,5002.914929598432,-6720.229988905833
50,-2288.0157361793586,5503.723482641266
51,-7383.637964100505,3027.8522469943277
52,7148.712269209404,254.3802625198999
53,-4823.643728553298,3947.8623653602785
54,5232.304910782351,-5535.290520041446
55,6790.3193194589985,-3223.5559258479843
56,4554.301771979057,-2828.6888257790806
57,-6913.446342188443,-5668.784973398579
58,4467.493882703895,-8455.654926128434
59,-6291.815896133874,-3938.951409560776
60,4589.784825108249,-8342.997400827857
61,-6326.079655703257,-8226.320471142802
62,-6250.207022265392,-4508.918479986161
63,-6837.820651699802,-6121.997373654881
64,4197.7745513823165,6373.542625517278
65,6689.115340719064,610.3179419102316
66,3119.1088257938845,5634.134004113902
67,-2618.032842462585,5204.378706573562
68,53.83359380538677,5163.585011355986
69,6135.602018597142,4518.624228068784
70,8011.262966526385,1487.6133206399566
71,8049.08314175645,781.0719518060702
72,-7041.435150382998,2651.0749749236593
73,6448.2878370585695,-3368.698122084994
74,-8571.06688519308,5281.614692962447
75,-8679.472762418161,6205.597018577394
76,4217.224723845324,-3592.171112707676
77,6325.3997120312415,-6168.99474501856
78,7311.147002074961,-2949.91974016627
79,-6007.06536721867,-3501.4871040154985
80,-2431.428999005424,5231.288357206195
81,-2033.9851786357422,4553.974458261972
82,-6139.923975932696,2549.8917081750387
83,7759.457478410678,-2935.879461884284
84,3602.9086443149436,5882.49734338957
85,3474.262304742385,5944.744629914363
86,4972.083444559152,-2557.7143142698624
87,8201.35775526723,1281.1007884249498
88,4236.41894503575,-8502.057032233579
89,5130.23769664159,4598.396661787653
90,-2393.40411623367,5194.209348863917
91,6133.0428213279165,-7231.055543714149
92,3126.3539044301024,6047.852456179343
93,6803.013755606919,3400.0133331231364
94,5314.530392780265,5679.948196274647
95,-6059.188110291226,-33.33550220042254
96,-7237.740562179033,-2637.056493408215
97,-2549.086888850402,6073.920510607207
98,7384.546240808255,-4188.888325064887
99,2199.749152071434,-7703.603547446808
